Plant height,Leaf number,Fresh biomass (g),Dry biomass (g),Days to 1st flowering,Number of pods per plant,Number of seed per pods,Weight of 100 seeds (g),Yield (g)
33.96 ± 1.54 bc,3.06 ± 0.91 a,53.16 ± 1.57 c,8.40 ± 0.75 c,20.27 ± 0.72 b,13.11 ± 0.85 c,5.09 ± 0.74 a,37.65 ± 0.75 a,1621.84 ± 25.65 c
30.48 ± 0.93 ac,4.14 ± 1.23 a,51.81 ± 1.70 c,4.49 ± 1.16 b,21.44 ± 0.83 b,18.77 ± 0.49 b,6.17 ± 0.56 a,37.02 ± 0.93 a,1602.16 ± 62.48 c
28.81 ± 0.50 a,4.66 ± 1.38 a,65.70 ± 3.63 a,16.62 ± 0.59 a,19.48 ± 1.19 b,22.42 ± 0.47 a,6.62 ± 0.68 a,35.18 ± 0.62 a,2394.25 ± 10.71 a
36.70 ± 0.93 b,5.92 ± 0.63 a,43.16 ± 0.86 b,6.57 ± 0.71 bc,28.93 ± 1.03 a,7.80 ± 1.07 d,4.25 ± 0.95 a,35.16 ± 0.79 a,959.95 ± 39.04 b
0.0001***,0.2932ns,0.0000***,0.0000***,0.0000***,0.0000***,0.1453ns,0.0669ns,0.0000***
